Name,Pick,Strengths,Weaknesses,Height,Weight,Age
Goga Bitadze,18,"Good size for his position… Solid wingspan, measured at 7’2”… Has good balance and mobility for his size … Very strong kid … He is not a great athlete, but he is sneaky athletic … When he has time to gather he can finish strong at the rim … He is a high energy player, who loves banging in the post … He is a competitor, who playes with passion and is not afraid of contact … Has improved his body considerably through the years and has lost the baby fat he was carrying … He runs the floor well for a big … He likes to spend time in the post … He has nice footwork in the post and has shown the ability to turn over both shoulders … Has a nice right jump hook as a go-to move … Has improved his midrange shot and he is actually a threat from 15-20 feet … Sets good screens on and off the ball … His good footwork makes him effective in pick n’ roll situations … Has shown the ability to roll hard to the basket after he sets a screen in pick n’ roll situations … He has good hands and can score on the move … Has been used a lot in pick n’ pop situations with good results … Has tried to faceup with mixed results for now … Has Stretch big potential … He is a solid free throw shooter … Very good rebounder, with this being probably his most translatable skill at the next level for now … Rarely forgets to box out on defense and has a good feel for positioning … He is relentless on the offensive glass and puts a lot of pressure on his opponents … Willing passer … A good shot blocker with good timing … Has active hands on defense … Not afraid to band bodies when defending in the post …","He lacks explosiveness … He is not a huge leaper … His second jump isn’t always as strong as the first … His body has improved, but he must continue bulking up … Lower body needs work … Very emotional player, which isn’t always good, since at time he loses focus for a few plays … He is a little clumsy at times on both ends of the floor … He might not be afraid of contact, but bigger and more experienced opponents can make life difficult for him on defense … He doesn’t always finish strong at the rim, which leads to bad misses around the basket … Has problems finishing through contact and in traffic … He is not a consistent shooter for now … His free throw shooting could improve … He must be able to mix it up when he plays with his back to the basket, maybe add some up and under moves … He doesn’t know how to read double-teams for now … His passing needs work … Turnover prone, mainly due to inexperience … His pick n’ roll defense needs work … He is a willing defender on pick n’ roll situations and has a good low stance, but his average lateral quickness limits him … He “bites” on fakes and commits bad fouls … He really needs to learn the law of verticality and not just go for the block all the time … Can be foul prone due to his clumsiness and emotional playing … At times he loses focus when he defends away of the ball…",83,250,19.93
Luka Samanic,19,"Versatile combo forward, who can do just about everything on offense … Good basketball I.Q… Acceptable size to play either forward position… Good athlete, light on his feet … Has nice jumping ability off two feet when he has time to gather … He moves smoothly on the court and things look to come natural to him… Nice cordination and body control for his size and age … Mobile, new generation big, who can run the floor with the best of them … Very good on the open floor … Doesn’t have an explosive first step, but it’s quick enough to help him attack his opponent … Can play above the rim… He has a natural thin frame, but his shoulders are wide enough and can fill out his body nicely … Has the talent and skillset to become an In-and-Out threat on offense… Can either Face Up or Post up his opponent … Has the talent and the upside to become a threat on either Pick and Roll or Pick and Pop situation … Nice looking jump shot… Has nice range in his shot, going all the way to the 3-point line … Above average in Spot Up situations and improving… Can put the ball on the floor and attack closeouts … Likes to finish plays strong at the rim with dunks … Doesn’t shy away from contact and isn’t afraid to go against big bodies in the paint … Possesses very good footwork in the post and has a nice post up game, with some spin and up and under moves … Moves well without the ball, finding the open space on the opponent’s defense … He handles the ball like a wing and has a variety of dribble moves (reverse, behind the back dribble) well beyond the level of a typical power forward … Good rebounder, who attacks the offensive boards… Has nice court vision and makes some good passes … Better passer than most people think… His basketball I.Q. helps him on defense, since he knows just where to stand, anticipanting plays … He has the talent and the instinct to be an acceptable defender when he is motivated and focused … Has a solid standing reach (8-11 feet) despite short wingspan …","Motor is questionable, can come and go, even during the same game … Has stretches where he just disappears from the game… Can easily lose concentration… He gives the impression that leaves something to be desired because of his incosistency … Good, but not an elite athlete …Needs to continue bulking up his body… Average length and wingspan (measured at just 6-10.5 feet)  … Has a nice bounce, but when he doesn’t have room to gather he looks limited against athletic players … Incosistent shooter… His shooting stroke looks nice, but the truth is that he hasn’t really shot the ball well in his career … He doesn’t shy away from contact, but his body isn’t really ready to withstand it just yet … Has problems against physical defenders and he even had problems at the junior level against less physical opponents … He settles for bad shoots when he has to go against physical defenders… Occasionally he just stands still on the perimeter waiting, not doing anything … Decision making can be iffy at times … Some of his moves on the post aren’t “clean” enough, since he can rush things … Has the tendency to go in to traffic after attacking a close out defense, giving the impression that he has decided what to do from the beginning … He can turn from either shoulder while posting up, but in reality he prefers to turn on his left shoulder, which can make his game predictable … Turnover prone, he might telegraph passes, or try passes that just aren’t there … For the time being he is not strong enough to guard power forwards and doesn’t have the necessary lateral quickness to guard wings … Bigger opponents can bully him in the post and score on him because of the difference in strength … Doesn’t always have a low stance on defense and depends too much on his athleticism … Perimeter defense is an issue, since he gets beat by quick and explosive players… Has problems guarding the Pick and Roll because of his average lateral quickness and occasionaly lethargic approach on defense…",83,230,19.46
Matisse Thybulle,20,"A lock down defender who has potential to be utilized in the same role at the next level … Has good size for an NBA wing (6’5” and 195 pounds, and a 7 foot wingspan) … Very alert and active on defense … Does a great job disrupting passing lanes … Uses his length and wingspan to his advantage recording both steals and blocks (3.5 steals and 2.2 blocks per game) … Great reflexes and timing on his reactions, helping with both blocks and steals … Really good feel for the game on defense. Seems to be wired to put as much attention on that end as on offense … He has excellent physical tools … He really anchored Washington’s 2-3 zone … Can put the ball on the floor and attack the rim. Can throw it down with ease … Really dangerous in the open floor … Capable of making open threes, just needs to get more consistent … Plays with a lot of energy. Has a good motor … Solid overall free throw shooting and three point numbers in junior year lead to optimism about his offensive potential … Considered one of the draft’s top individuals off the court …","Needs to get more comfortable on offense … Sometimes forces things a bit … Shooting needs to improve. Lacks consistency … Has the ability to make threes, but not yet at a consistent rate … Great defender, but his offense needs to catch up … Ball handling needs to improve; handle is a bit loose … While his defensive numbers improved over his career, his shooting from the field actually regressed from his junior year to his senior year … As a junior, he averaged 11.2 points per game on 44.5% shooting from the field and 36.5% shooting from 3-point range … As a senior he averaged 9.1 points per game on 41.5% shooting from the field and 30.5% shooting from 3-point range. Foul shooting has been an overall strength of his (78.2%) for his career, but it has been very up and down at the same time. 71.4% as a freshman and as a junior. 84.1% as a sophomore and 85.1% as a senior …",78,200,22.31
Brandon Clarke,21,"Bouncy, undersized big who plays with tremendous explosiveness and energy … He is a strong finisher around the basket … He’s shown the ability to score off the dribble … He’s able to score from the low post against certain matchups … He’s great at scoring on off ball motion plays … He is a great rebounder, averaging over 8 a game the last couple years … He is very good on the defensive end of the floor, as a help defender and on the ball … An amazing shot blocker for a 6’8 forward, he averaged over 3 blocks per game this past season …  Along with the 3+ blocks, he averaged over 1 steal per game … He has a non-stop motor to go along with his elte athleticism … He has great timing when he goes to contest shots at the rim … He rarely fouls despite contesting a lot of shots … He’s rarely out of control despite how hard he plays … He’s capable of switching screens and defending players on the perimeter … In the NBA he’ll need that skill with how the game is played today … He plays within himself and doesn’t take shots out of his skill set……. He has great touch around the basket … He’s capable of guarding four different positions … His athleticism can make him a great help defender at the next level … He runs the floor very well in transition … He’s a good finisher in traffic …","Does not have ideal size or strength to play in the post at the next level … Lacks length with just a 6’8.25 wingpsan on his 6’8 (in shoes) frame … To make matters worse he weighed in at the combine at just 207 lbs, which is concerning considering his age … Will turn 23 in September, making him older for a first round draft prospect … Revamped his jumpshot in his redshirt, transfer year, but still has work to do on it … He needs to improve the range and consistency on his perimeter jump shot …  He shot only 27% from the 3-point line last season … He doesn’t look comfortable shooting unless he is wide open … His reluctancy to shoot could affect his team’s offensive rhythm … He struggles at the free throw line, he shot 69% from the line last season … He needs to extend his shooting range in order to not be a liability on the floor at the next level … He’s not a great ball handler which can lead to turnovers against NBA players … He can be careless at times with the basketball, which NBA teams will make him pay for … He can be undisciplined at times on the defensive end … At times going for blocks too often puts him and the team out of position …  He needs to increase his playmaking skills to make himself more versatile on the offensive end of the floor … His lack of a jump shot will limit his options to blow by his defenders on the closeouts …",80,210,22.76
Grant Williams,22,"Solid finisher around the basket … Quality low-post scorer … Capable shooter … Great competitor with feel for the game … Above-average facilitator/playmaker, especially from the post where he has great vision and makes the correct pass out of double-teams … Versatile defender where he can guard the post, but is also capable to switch onto a wing … 6’11 wingspan which allows him to out-rebound taller/more athletic players down low … Great mid-range and free throw shooter, has improved each year from the line. Also, capable of knocking down shots from beyond the arc (32.6%) … Capable shot blocker, averaged 1.3+ BPG during his three years at Tennessee … Very strong which allows him to finish through contact and carve out space in the paint … Where Williams lacks in athleticism and height, he makes up for it with strength, play-making ability, and motor … High motor, constantly hustles and demonstrates leadership on the court … High basketball IQ which leads to his above-average playmaking ability … Played with talented players during his tenure at Tennessee (Player: Admiral Schofield), (Player: Jordan Bone), and is capable in terms of sharing the basketball and the spotlight … Was the centerpiece during his time at Tennessee while winning back-to-back SEC Player of the Year Awards and was always a leader and set the example … Key to his game is versatility where he continues to show improvement in each area","Williams is an undersized forward at 6’7 which is small for a player who lacks in athleticism and makes most of his impact in the post … Not an explosive athlete, plays below the rim … Foul prone, fouled out of 4 games including two matchups against top talent in the country in Gonzaga and Kansas … Williams struggles to stay in front of quicker guards due to his lack of athleticism and height … While capable of hitting from beyond the arc, Williams digressed from his freshman year to junior year. Very capable from mid-range and the free throw line, but needs to continually improve from three if he plans to find a role as a small-ball four in the NBA … Hesitant to utilize jumper, typically makes impact in the post or opts to pass on open shot to get the ball into the block … Williams may struggle to create off the dribble considering we saw most of his offensive skill set in the post or catch-and-shoot opportunities on the perimeter.",79,240,20.57
Darius Bazley,23,"6’10 versatile forward … Good length with a near 7’0 wingspan and 8’11 standing reach … Natural athleticism and versatility. Very fluid and coordinated. Quick first step. Good slashing ability … Can get to the rim and finish with either hand. Shot 46.2% from the floor over the Nike EYBL … Can hit the pull up jumper. Good arc on shot. Scores well from midrange and shows developing touch from three … Shot 40% from three at the NBPA Top 100 … Can score inside and out … Reliable free throw shooter. Shot 82.4% from the foul line over the Nike EYBL and 78.6% at the NBPA Top 100 … Rebounds very well with good elevation. Finished top ten in rebounds over the Nike EYBL with 9.4 per game and 3.3 coming on the offensive end. Finished third in rebounding at the NBPA Top 100 with 7.6 per game. Can grab a rebound and take it to the other end of the floor. Can cover a lot of ground in minimal dribbles … Great tools as a versatile defender with his length and athleticism. Averaged 1.5 blocks per game over the Nike EYBL and 0.9 per game at the NBPA Top 100 … Unselfish … Big time potential. Naturally has variety to his game, can show much improvement by getting better at what he already does at a basic level without having to completely add new dimensions to his game … Younger for his class, will turn 19 a few weeks before the draft …","While very talented he’s still raw … And losing a potential (NCAA) season or even G-League season of development doesn’t help matters …  His feel for the game is lacking at this stage in development … Understanding when to score and when to move the ball within the offense will benefit him … Doesn’t have a consistent way to get baskets in the half court … Still improving his jump shot consistency … His elbow jets out, causing his misses to go off to the side … Developing a post-game would benefit him as he has a size advantage over most players defending him … Has room to add strength, only weighing in the 200 pound range … Gets bumped off his path when driving at times … Needs to tighten up his handle, struggles to use it to beat his man … Can slash to the basket but can improve breaking down the defense … Gets loose with the ball in traffic. Averaged 1.9 turnovers per game over the Nike EYBL … Solid court vision but telegraphs passes at times … A bit out of control at times … Needs to perform more consistently … Still putting his tools and talent together to form in game production …",81,210,19.03
Ty Jerome,24,"Ideal size for the point guard position with a 6’5’’ frame … Passing is better than most combo guards entering the draft, averaging 5.4 assists his junior season … Plays with incredible efficiency … Quick decision-making ability … Efficient three-point shooter, shooting nearly 40% over his career … One of his biggest strengths is his lock-down defense … Uses his size to his advantage when guarding both on and off the ball … He is lengthy enough to guard multiple positions … Great awareness that allows him to beat offensive players to the spot … Uses hesitation moves to get into the lane … Can effectively score at the rim with either hand … One of the better spot-up shooters in college basketball … Fouls at a very low rate … Handles the ball well … Turns over the ball less than 15% of possessions … Despite a lack of athleticism, he is a big-time shooter that creates plays for himself and his teammates … Makes up for physical shortcomings with great intagibles … Shows the ability to make those around him better … Plays with a lot of confidence and swagger … Has a competitive edge and knocks down shots in tough moments … Raises his level of play in big situations … Reliable free throw shooter (Hovering around 80% for his career) … Solid rebounder for a point guard at 4.0 per game … Can post up smaller players …","Possesses less than ideal physical tools … Lacks the speed and athleticism that is prominent in the NBA … He is often slower than every ACC guard he has competed against … Has a difficult time creating separation on offense … Struggles to keep up with extremely quick players on defense … His subpar athleticism will likely be exposed at the next level … Often shoots spot-up jumers, but must improve shooting off-the-dribble if he wants to succeed … Needs to add some strength and muscle … Does not have as high of a ceiling as most of the prospects entering the draft because of his lower-athletic ability …",77,195,21.96
Nassir Little,25,"6’6 220 lb. two-way, athletic forward … Explosive finisher with a quick first step … Excellent size/length with a 7’1 wingspan and and a 8’9 standing reach … High-energy finisher … Active perimeter defender and plays the passing lanes… Solid frame. Not afraid to absorb contact and get to the free throw line … Finishes well and powers through contact extremely well … Dynamic slasher who creates a lot of baskets through aggresiveness … Athletic rebounder, not afraid to bang down low with bigger, stronger players … Can use his size and athleticism to his advantage … Prideful defender who will take on the toughest defensive assignment … Recognizes and takes advantage of mismatches … Finishes at the rim with both hands … Unselfish passer … Quick feet, with the ability to defend  … Exceptional offensive rebounder who follows shots and excels in crashing the boards … Has good hands, able to catch tough passes and grab rebounds outside  his immediate area  … Good speed in the open court and difficult to defend on the fast break without fouling …. Shows solid defensive anticipation … Free throw percentage (77.8%) gives optimism about his ability to become a better mid range and outside shooter … Plays with a steady motor … Form on his shot shows solid mechanics, but still needs to work on connecting more consistently and shooting in rhythm … Was productive when given opportunities, considering he only played 18 minutes per game …","Struggled with consistency as a freshman … Doesn’t exhibit the instincts of a natural scorer … Has yet to develop any real ability to create offense off the dribble or as a shooter … Basketball IQ and feel for the game don’t always appear to be top notch … Not the most fluid of athletes, somewhat rigid body and offensive moves can appear predetermined … Only shot 28 percent from 3-point range in the regular season of his freshman year … At times can be too dependent upon his physical gifts … Merely outclassing opponents physically won’t be succesful at the next level … Still has room to improve with shot selection and can continue to develop a more well-rounded mid-range game … Can improve in pick and roll game, has the potential to be either the playmaker or cutter in a pick and roll situation … Should look to improve upon limiting turnovers … Good spacer of the floor but can still improve in moving without the basketball …",78,225,19.37
Dylan Windler,26,"Mid-Major lefty swingman, Dylan Windler, has drawn some serious buzz after putting up a monster senior season, and displaying the type of long range shooting NBA teams covet … Windler’s superb stroke was displayed in many different ways … Dylan nailed 100 threes as a senior at 42.9% shooting on 7.1 attempts per contest … This type of production isn’t a new development in his game as he hit 42.9% his junior season, and 40% as a soph. He’s great at coming off screens and floating the corners to get open shots … Windler needs very little time to catch and setup for his shot, and his left handed release can sometimes catch defenders off guard … Playing in a fast paced Belmont offense many of his 3’s this season came in transition which will aid in his translation to the NBA landscape … Additionally, at 6’7.5” in shoes and sporting an 8’8.5” standing reach, he’s plenty tall  to get his shot off in the league … Windler is also an aggressive player, who not only hunts for his shot, but hustles for rebounds, and takes advantages of cutting opportunities to get shots at the rim … His 10.8 rebounds per game is a very good level for a player who spends so much time around the perimeter, and his 1.9 offensive rebounds per contest lead to 23 second chance buckets … Another plus regarding his rebounding is that he’s really good at pushing the pace after collecting a miss on the defensive end … As rebounding is one of the most translatable skills to the NBA, while Windler is not elite in terms of positional size and athletic ability, he measures out pretty well and project to at least be solid on the glass … With a 6’10” wingspan, a 2.94 second shuttle and a 37.5” max vertical, Dylan tested really well when compared to his peers … He’s not really a slasher, but  works off cuts well, and often finishes above the rim … He shot a very good 74.5% at the rim last season(hoop-math.com) and converts free throws at an 84.7% clip … A low mistake player, who only averaged 2.1 TO’s per game despite being a focal point in Belmont’s offense … Very methodical, Dylan uses spacing well, and will likely benefit from the deeper NBA three point line …","Despite being surprisingly quick and athletic, Dylan really needs to work on his strength to make the leap to the next level … At 195 pounds, he’ll likely be effected by stronger players at his position, and will struggle to match up defensively … He wasn’t much of a shot blocker in college, and will likely not be a factor in contesting shots … Windler will also turn 23 before his first NBA game, so he has a mature game while being pretty close to his prime … His ceiling doesn’t project to be that much higher than where he is now …  One on one perimeter scoring will be more difficult in the NBA, and he will likely have to rely more on running off screens, while a good ball handler, he’s not exactly a break you down or blow past you type of presence on the wing …",79,195,22.76
Mfiondu Kabengele,27,"At 6’10’’, 250 pounds, he possesses a body that NBA teams covet … Led the Seminoles in scoring (13.2 ppg) this past season despite coming off the bench and playing just 21.6 minutes per game … Takes advantage of his limited playing time and dominates both ends of the floor … Extremely long with a 7’3 wingspan … Crashes the offensive glass (2.1 offensive rebounds per game) … Is a factor as a shotblocker, evidenced by his 56 total blocks on the year … Dominates the rim against smaller frontlines … Versatile offensive player … Shoots well from three-point range (37%) for a player of his size … 76% FT shooter reinforces the idea that he can become a solid outside shooter at the next level … Finishes well in the paint and sticks with guards on the perimeter defensively … Climbed up the draft boards after averaging 21.5 points, 8.5 rebounds and 2.0 blocks in Florida State’s first two NCAA tournament games against Vermont and Murray State, shooting 64% from the field … Was a defensive menace in the ACC tournament, recording 2.7 blocks per game against Virginia Tech, Virginia and Duke …","Lacks in many aspects of decision making, specifically as a passer… Averaged just 0.3 assists per game on the season … Not incredibly quick … Moves a bit gingerly and wears big knee pads which give the appearance that his knees are not extremely strong …  Has to improve his ball-handling skills … Is very foul prone, fouling nearly three times per game in limited playing time … Developing the ability to consistently knock down jump shots is one of the main areas he needs to improve in … Is a redshirt sophomore and already the age of a junior …",82,255,21.86
Jordan Poole,28,Shooting guard who can flat out shoot the long ball … Shows some combo ability … Able to spot up or shoot off the dribble comfortably … Strong ball handler who can create for himself and others … An exceptional passer at the 2 spot … Solid finisher around the rim … Can finish with either hand … Demonstrates a variety of different moves offensively … 6’6.75 wingspan … Overall a solid perimeter defender … Not afraid of the moment and taking the big shot … Turned 20 a day before the 2019 NBA draft …,needs to add core strength in order to contend with 2-guards at the next level … Has to take better care of the basketball and be more consistent limiting turnovers … Does not necessarily jump out of the gym compared to more athletic guards so shooting has to remain consistent … Nonchalant at times … Can improve on playmaking ability …,77,190,20.02
Keldon Johnson,29,"Athletic wing who plays with a lot of heart and determination … Has an explosive first step that he uses to get by defenders to the rim … He’s great at finishing around the basket … He’s a good three-point shooter … He shot 38% from behind the arc this season on just over three attempts per game … He’s a great athlete with strong arms which will make a coveted player at the next level … He has great leaping ability which will make him fun to watch in transition … He has a solid floater that he uses to score over bigger defenders … His body is NBA ready for a shooting guard… At 6’6 211, he will come into the NBA ready to defend either guard position … He has a lot of potential on the defensive side of the ball … He has good balance and length that can give any opponents problems trying to score on him … He has the strength and the will to fight through screens … He’s a solid scorer off the dribble … When a smaller player is on him, he can post them up … He’s a good rebounder at his position, averaging nearly six rebounds per game … He has a good motor … He’s a well-rounded player who’s adept at a lot of things…. Willing to do the dirty work on both ends of the floor … He knows how to find the open spots on the floor off the ball…. He is also good at finding open shooters on the perimeter … He doesn’t need the ball in his hands to be a threat on the offensive end of the floor…… Has shown the desire to guard his man the full length of the court … His defensive impact doesn’t show up on the stat sheet … A winner. A natural leader with very good intangibles …","He will need to improve on his free throw shooting at the next level … He shot 70%, which is low for a guard … He is reluctant to shoot three pointers at times and takes the offense out of its rhythm … He is an inconsistent 3-point shooter … At times his athleticism can cause him to get out of control going to the rim and miss layups … Deflections are nice and takes opposing offenses out of rhythm, but he needs to use his athleticism to generate more turnovers for his team…. He averaged less than one steal and block per game … He needs to improve his catch and shoot game, as well as his shooting coming off the pick and roll … He can be over-aggressive at times and pick up unnecessary fouls at times … He is good at a lot of things, but not great at any one skill … Needs to improve his playmaking ability… He averaged as many assists as he did turnovers … He is great at straight line drives, but when going east to west he lacks creativity when getting past opponents and finishing at the rim…. He needs to work on his footwork when sizing up his opponents … His shooting motion is slow in catch and shoot situations, which leads to defenders being able to contest his shots on closeouts … He over-penetrates at times instead of shooting the open shots that present themselves …",78,215,19.7
Kevin Porter,30,"2-guard who started the season out extremly strong and is a talented player when focused and motivated … Pretty strong and has a good body for an NBA wing (6’6”, 218 pounds) that has yet to turn 19 … Strong Isolation player with a number of ways to score … Idolizes James Harden and has polished a few of his moves … Has the ability to nail step-back jumpers … Handles the ball well with combo guard potential … Has potential to be a good shooter (41.2% from 3-point range) … Can push it in transition as he has good speed … Has NBA level athleticism … Very quick … Can jump really high and explode to the rim … Does a good job finishing around the rim … Really good slasher … Has a good nose for the ball … He’s willing to crash the glass (7.2 rebounds per 40 minutes) … Good at scoring off tip ins and put backs … Aggressive … Plays to the whistle. Pretty alert defender … Has the tools to be a good NBA defender … Has the ability to force turnovers and go coast-to-coast for the slam (1.5 steals per 40 minutes) … Has a great deal of potential if he gets into the right situation and dedicates himself to becoming a focused professional … Plays with a swagger …","Needs to improve his shot selection … Doesn’t always make the right play … Decision making as a whole needs to improve … Has a tendency to get out of control (1.4 assists & 1.9 turnovers per game) … Foul shooting needs to improve (52.2%). Would benefit from another year in school to polish his game and become a impact performer throughout the season … Didn’t get a ton of minutes his freshman year (22.1) so his sample size is a bit small … Talking to NBA scouts regarding Porter, there are a lot of off court concerns surrounding maturity and decision making … Has had a number of well documaneted incidents including a run in with Coach Andy Enfield, and it’s safe to say that Porter doesn’t have the best reputation for being a mature, team focused guy … Lacks discipline, focus, structure …",77,215,19.14
Nicolas Claxton,31,"Claxton is a long, fluid, wiry athletic four with a good deal of upside left to develop … He shows nice skills on the perimeter with some ability to handle and pass … Potentially making him very valuable in today’s NBA is his ability to guard multiple positions … He has quick feet which allows him to defend guards on the perimeter, giving him coveted pick and roll defensive ability … He has tremendous length, a 9’2 standing reach, which allows him to recover if he gets beat by his man … His long wingspan and vertical allows him to protect the rim … He’s a strong player in transition … His speed and ball handling ability allow him to be effective on the fast break … He has solid vision which allows him to make passes in the half court as well as the fast break … He is a decent scorer in the low post …  He’s good at drawing fouls … He hits the boards hard as evidenced by his almost 9 rebounds per game this season … Has NBA bloodlines, as his father played in the NBA for Boston … Has shown an improved jumpshot since the season ended, impressing in workouts …",He has a thin frame and needs to put on more weight to avoid being bullied in the paint at the next level … Added strength will allow him to fight in the post for position on the block as well as be a stronger rebounder …  He doesn’t have a real offensive identity right now … Not a big scorer or very skilled offensively at this point … He struggled as a three point shooter last season … He only hit 28% of his threes … That might limit his ability to be a stretch big man in today’s game … He’s only a 64% free throw shooter … He is an inconsistent jump shooter … At times he is to passive on the offensive end of the floor … He should look to attack more often …,83,215,20.19
KZ Okpala,32,"Great size and length for a wing (6’8”, 195 pounds) … Very athletic. Can throw it down with ease … Explosive athlete … Dangerous in the open court with the ball … Has the tools to guard multiple positions on the floor (2-4, maybe some 1s) … Runs the floor really well in transition … Handles the rock well … Very comfortable with the ball in his hands … Very quick with the ball … Does a good job using the triple-threat … Has a bit of an unorthodox shot, but did a good job improving it over the summer … Shot 22.6% from 3-point range as a freshman on 1.3 attempts per game … As a sophomore, he’s shooting 44.8% from 3-point range on 3.1 attempts per game … Capable of making shots with a hand in his face … You have to guard him close out on  the perimeter … Not a selfish player … Willing to find the open man for the easy basket … Smart player … Can drive and kick out to open shooters … Moves well without the ball … Flashes to the high post, comes off screens, and knows how to get open … When he attacks the rim, he’s very difficult to stop … Few players have the length to really give him trouble … Finishes well inside … Very versatile … Solid rebounder (6.0 per game) …","Defense could improve … Especially when going up against quicker ball handlers that can attack the rim … For having so much height and weight, he doesn’t block a lot of shots (0.7 per game) or get a lot of steals (0.9 per game) … Needs to learn how to take more advantage of his physical tools to be more disruptive on defense … He needs to add weight to hang with NBA wings and forwards. He struggled at times against Arizona State’s Luguentz Dort (6’4”, 215 pounds) … Sometimes loses his man and gets beat … Effort needs to improve … Needs to learn how to fight through screens … Commits 2.6 fouls per game … Sometimes he’s a bit too afraid to pick up the foul, resulting in blow buys … Doesn’t finish through contact as well as he should … Needs to improve his physicality inside and learn how to throw it down in traffic with more regularity … While his shot has improved, he still has more work to do … He’s a good college 3-point shooter, but needs to be able to extend his range to the NBA 3-point line … Free throw percentage needs to improve (69.4%) …",80,210,20.16
Carsen Edwards,33,,,72,200,21.29
Bruno Fernando,34,"A high level run jump athlete at the center position …  Explosive finisher and alley-oop target, with great bounce, especially off of two feet … Very solid touch and shooting ability for a big  … Shows excellent form and touch shooting the ball (a career 75% ft shooter) … Has become a load on the block … Has excellent footwork in the post with solid ability to establish position and seal his man for jump hooks and drop steps … Has a developing turn around hook shot over his left shoulder … Possesses excellent hands, showing an ability to catch entry passes and make plays with the ball without having to focus any attention to it … Has learned solid skill on the block, with the ability to seal his man, create a wide base for teammates to find him with passes, and can make plays quickly after establishing advantageous position … Has developed a bag of tricks in the paint with spin moves and up-and-unders. Does a great job of not predetermining his moves and really gives defenders trouble with his foot work and ball fakes … His hands appear to be just as good as his feet …  Creates space offensively by bumping his defender off balance … Finishes well in the paint, whether it be with a dunk or baby hooks … Ambidextrous, showing the ability to finish well with both his left and dominant right hand … Very good touch. And an above average FT shooter for a big … Enjoys contact. Displays great toughness and a willingness to give up his body for rebounds … Very strong body and should only continue to add to his muscular frame … While his skill set is more that of a traditional big with a focus on his post game, his size, mobility and touch give him potential as a modern day big, and his ability to move his feet and defend guards on pick and rolls gives him added intrigue … Has really improved as an offensive player, showing confidence facing the basket from the perimeter and can make plays attacking the basket off the dribble … He’s able to take opponents off the bounce with a quick first step and can get to the rim without drawing charges or turning the ball over. A sign of his coach-ability and dedication to improving his game … Finishes well on the move … Also has the ability to one dribble pull up from 10-12 feet if the defense sags off him … Young man with a lot of maturity and composure. Has a calm, confident demeanor and never seems to lose his cool, or get rattled … Has a real presence about him, doesn’t shy away from competition or the limelight and shows a steady demeanor and confidence to handle adversity and tough situations … His feel for the game has shown steady improvement, and he apparently made an excellent decision to return to Maryland for his sophomore year, despite being a likely first rounder as a FR … Excellent 7-plus foot wingspan gives him good length at 6’10 …","Still unproven to some degree against quality competition, though this season he has begun to show what he can do against higher level opponents … Offensive game, while promising is still a work in progress … Still not the most prolific of scorers at 15 ppg after averaging 10 ppg as a freshman in the Big Ten … While he has come a long way in a short time, still must continue to improve upon his feel for the game … At times is slow to recognize double teams and will take the ball into the teeth of defenders, instead of working the ball out for a better look … His ball handling has really grown into a strength, but can still be sloppy and lead to turnovers … Doesn’t have range out past 12-15 feet at this point. While his form and touch suggest he could develop a 3 point shot, to this point he has not been able to add that element to his game … His passing at times can be sloppy, though his 2 assists per game are solid for a big and show that he’s not a black hole on offense … Perhaps just slightly undersized at the center position at 6’10 … Will be 21 (August 15th) before the 2019 NBA Season begins, so his upside is not as intriguing as a true freshman … Not the most formidable shot blocker or rim protector, though he’s solid in this area with a chance to improve. He’ll need to focus more attention to this area of the game …",82,240,20.86
Marcos Louzada Silva,35,,,77,190,19.98
Cody Martin,36,,,78,190,23.74
